Andrev2015,pc3,muscle,human,vleng,channel_name
-0.006,0.064,-0.044,0.21,-0.021,filter_499
-0.126,-0.155,-0.115,-0.364,-0.364,filter_500
-0.049,-0.098,0.041,-0.291,-0.099,filter_501
0.017,0.019,-0.136,0.089,-0.014,filter_502
-0.073,-0.012,-0.144,-0.055,-0.19,filter_503
-0.029,-0.024,-0.104,-0.152,-0.251,filter_504
-0.039,-0.107,-0.067,-0.302,-0.097,filter_505
0.009,0.057,0.023,0.205,0.071,filter_506
-0.05,-0.092,0.081,-0.282,-0.033,filter_507
-0.009,0.015,-0.113,-0.004,-0.026,filter_508
0.013,0.042,0.059,0.055,0.039,filter_509
-0.058,-0.132,-0.099,-0.322,-0.257,filter_510
-0.01,0.022,-0.018,0.111,0.016,filter_511
